text,taggedCategory,type,isMachineCategorised,truthScore
https://www.astroawani.com/berita-malaysia/imam-dipukul-lelaki-kurang-siuman-ketika-solat-subuh-412628,Unsure,text,false,3.857142857142857
"So...... Starts walking!!!

https://www.thevibes.com/articles/lifestyles/89113/8000-steps-once-or-twice-a-week-cuts-mortality-risk-study",Info/News/Opinion,text,false,3.75
"Suck lozenges n  rub tiger balm on nose , last night towards morning I was sneezing n coughing too but.today ok",Trivial,text,false,3
"📢 HUUUURRY! Use your code GLASSSKIN10 & start your Glass Skin journey! Get 10% off, free shipping & additional 1pc travel size (min. $120 nett spend)​, specially for you!​
​
✨ Shop Clearly Corrective Dark Spot Solution Starter Set now https://bit.ly/3lzXCDR
​
Chat with our Kiehl’s Skin Pro to find out more: ​​
​
T&C Unsub:SMS UNK to 84668920 <ADV>",Spam,text,false,3
"Hi, last year one of my colleague met you at your campus for a career profiling survey and you mentioned that you are graduating in 2024. Would you be keen in an internship starting 14 Jul to 23rd Sep in the financial sector? It includes an overseas boot camp. Do reply and let me know. Tks.",Unsure,text,false,3
"🙋‍♀ If you know anyone born between 1950-1959, you can ask them to go SMRT to top up $100 ezylink for Merdeka Generation effective today.

How to top up the $100? 
1. Go to a Add Value Machine at the mrt station.
2. Place your Passion Senior Citizen card on the card reader.
3. Tap on the word ‘Merdeka’ on the screen. 
4. Press Redeem All. 
5. Wait 15 secs. 
6. Top up completed. You may tap on the word ‘receipt’ if you want it. 😊",Info/News/Opinion,text,false,3
Tracking No QXSGD01808049 has been successfully delivered by QXPRESS. Hope to see you again,Legitimate,text,false,3
"Hi! I pray this msg find you in good health. Have been thinking and believe I have to reply you. Remember you address me abt my faith.  It is solely based on faith alone. I have to say it is not blind faith but evidential faith. Archaeology and history proves my faith. Delve into it, I pray. Places, (like Hezekial tunnel, Sennacherib's prism which tables the wars of the assyrian King,  people the Bible talks about really exist. Look at Israel. Persecuted but now a nation. God did say He will leave a remnant though the israelittes were a stiff necked people.  The Bible, written by different authors, over thousands of years, speaks congruently on the issue of God, His plans, His heart, Israel, history. It is the only book that has prophecies came true and yet to come true (like the book of revelation). Therefore (the Bible) is reliable. I believe in heaven and hell. I believe God is perfect and He will punish sins on judgement day. But the good news is He gave forgiveness to those who turn to Jesus Christ, repents and follow Him, obey His commandments. I have all reasons to believe in the bible.  I refer you to J Warner Wallace of cold case Christianity. Amen.",Unsure,text,false,2.6666666666666665
Doctors Honoured by Hitler https://youtube.com/shorts/AbFkSrmw-sU?feature=share,Info/News/Opinion,text,false,2.5
"[8/04, today's Zaobao Chinese Morning newspapers special  report]: 
Recent week from 26/3 to 1/4, new Covid-19 cases: 28,410.
Every day: 4,060
181 need hospital stay.

Infectious Diseases specialist Dr Paul Tambyah says:  
the situation has returned to 2019 when there was daily new cases reporting.  

Covid-19 Pandemic  is not over yet.  We still need to wear masks, wash hands, avoid crowds and observe distancing!

[8/04 今天的早报特别消息]：
最近一周从 26/3 到 1/4，新的 Covid-19 病例有：28,410。
每一天的新病例：4,060。
每日181人需要住医院接受治疗。

 传染病专家 Paul Tambyah 医生说：情况又回到了 2019 年，每天都有报告新病例的时候。

Covid-19 大流行还没有结束。 大家出门还是要戴口罩、勤洗手、避免多人聚集、保持距离！",Info/News/Opinion,text,false,2.4444444444444446
https://m.facebook.com/story.php/?story_fbid=pfbid02U7NuZDvuzPVGea38SgVeRMR85MEj7JgjfQpjCr6DKTL1ajrpRWFyH1X3cd4KxZR5l&id=100064632344369,Info/News/Opinion,text,false,2.3636363636363638
"This is one of the most profound description of the Chinese race by Chan- Lui Lee PH.D.
You are one of them.
Pls.read and be proud that your forefather left China many years ago to migrate to. Malaysia for abetter future. This is in the DNA of every China man that the next generation will be better than the next 
Happy reading.👏🏻👏🏻👍🏼
This is nice and quite correct and yet truthful summary of Chinese people around the World:

Being Chinese

The simple plain truth about the Chinese!

This Chinese-Australian professor has a funny but true explanation
about the Chinese people. Why do Chinese people work so hard to
succeed in life?

Chinese people don't go about bombing, terrorizing others and causing religious hatred. We live peacefully with everyone on Earth.

Here is the plain truth.

#1. There are over 1 billion of us on this earth. We are like photostat copies of each other. You get rid of one, 5 magically appears (like ballot boxes). Yes, it is scary, especially for us. We acknowledge that we are replaceable, thus we are not particularly 'special'. If you think you are smart, there are a few thousand more people smarter than you. If you think you are strong, there are a few thousand people stronger than you.

#2. We have been crawling all over this earth for far more centuries that most civilizations. Our DNA is designed for survival. We are like cockroaches. Put us anywhere on earth and we will make a colony and thrive. We survive on anything around us and make the best of it. Some keep migrating but others will stay and multiply.

#3. NOBODY cares if we succeed as individuals or not. But our families take pride in knowing we have succeeded. Yes, some will fail. We take nothing for granted. We don't expect privileges to fall on our laps.

No one owes us anything.

#4. We know we have nothing to lose if we try to succeed. Thus, we have no fear trying. That is why Chinese are addicted to gambling. We thrive on taking risks. All or nothing.

#5. From young we are taught to count every cent. What we take for granted like money management, I have found out recently, is not something other cultures practice at home with their children. It surprised me. But truth is not all societies or cultures teach their young this set of skills because it is rude to them. Yes, most of us can count because we are forced to and the logic of money is pounded into us from the beginning of time (when mama tells us how much she has spent on our milk and diapers)

#6. We acknowledge life cycles. We accept that wealth in a family stays for three generations (urban myth?). Thus, every 4th generation will have to work from scratch. I.e. first generation earns the money from scratch, second generation spends the money on education, third generation gets spoiled and wastes all the inheritance. Then we are back to square one. Some families hang on to their wealth a little longer than most.


#7. It is our culture to push our next generation to do better than the last. Be smarter. Be stronger. Be faster. Be more righteous. Be more pious. Be more innovative. Be more creative. Be richer. Be everything that you can be in this lifetime.


#8. Our society judges us by our achievements... and we have no choice but to do something worthwhile because Chinese New Year comes around every year and Chinese relatives have no qualms about asking you straight in your face - how much are you making? When was your last promotion? How big is your office? What car do you drive? Where do you stay? You have boyfriend? You have girlfriend? When are you getting married? When are you having children? When is the next child? When you getting a boy? Got maid yet? Does your company send you overseas? etc etc etc. It NEVER ENDS... so, we can't stop chasing the illusive train - we are damned to a materialistic society. If you are not Chinese, consider yourself lucky!


#9. We have been taught from young that if you have two hands, two feet, two eyes, and a mouth, what are you doing with it? ""People with no hands can do better than you !""


#10. Ironically, the Chinese also believe in giving back to save their wretched materialistic souls. Balance is needed. The more their children succeed in life, the more our parents will give back to society as gratitude for the good fortune bestowed on their children.

Yes. That is true. And that is why our society progresses forward in all conditions.

Nobody pities us.

We accept that.

No one owes us anything.

We know that.

There are too many of us for charity to reach all of us.

We acknowledge that.

But that does not stop us from making a better life.

This lifetime.

Opportunity is as we make of it.

So, pardon us if we feel obliged to make a better place for ourselves in this country we call home.

It is in our DNA to progress forward for a more comfortable life.

But if history were to be our teacher, look around this globe.

Every country has a Chinatown (seriously) but how many government/countries are 'taken' over by the Chinese people.

Don't be afraid of us overwhelming your majority, we are not looking to conquer.

If we have moved away from China and Chinese governed countries, we are NOT looking for another country to administer.

Our representatives are only there to look after our collective welfare. They are duty bound.

We prefer to blend in and enjoy the fruits of our labor.

We enjoy the company of like minded people of all races.

After all, we are only passing through a small period in the history of time... so, use our skills and we can all progress forward together.


Chan-Lui Lee, Ph.D.
Honorary Life Membern & Past President, AFS
Melbourne,",Info/News/Opinion,text,false,2.125
LIMITED TIME till end of this month!Save up to $3000 on your self care.Ask your Hairstylist or https://www.99percenthairstudio.com/super-savings,Unsure,text,false,2
"Dear all,
Please be careful.. There is a HIGH TECHNOLOGY SCAM going on at this time called *SIM SWAP FRAUD*, it is said that hundreds of people have been affected, they suddenly found that their bank accounts were *EMPTY*

  How does it work?

 1) The new scam called SIM SWAP starts like this... Your phone network will suddenly go blank / zero (No Signal / Zero Bar) and after a while, you will get a call.

 2)The caller will tell you that he is calling from (your mobile phone company) depending on your network and that there is a problem in your mobile network.

 3)He will instruct you to Please press 1 on your phone to regain network.  - *PLEASE*... at this stage
  don't Press anything, Just hang up or *END* the call.  If you press 4) the network will appear suddenly and in a moment *your HP Will go blank again (Zero Bar) and with that action, your phone *ALREADY HACKED*.

  In a few seconds they will empty your bank account, and you won't receive any notification.. about it.
  It will appear as if your line has been disconnected with no Network, meanwhile your SIM has been *CHANGED*

  The danger here is, you won't get any transaction alerts.

  Let's be more careful",Info/News/Opinion,text,false,1.8333333333333333
"News from Singapore!
Please be sure to wear a mask as the new COVID-Omicron XB variant Corona virus is different, lethal and not easy to detect: -

Symptoms of the new COVID-Omicron XBB virus are as follows: -

    1. No coughing.
    2. No fever.

There are only so many: -

    3. Joint pain.
    4. Headache.
    5. Neck pain.
    6. Upper back pain.
    7. Pneumonia.
    8. Usually no appetite.

Of course, COVID-Omicron XBB is five times more toxic than the Delta variant and has a higher mortality rate than the Delta variant.

It takes less time for the condition to reach extreme severity, and sometimes there are no obvious symptoms.

Let's be more careful!

The strain is not present in the nasopharyngeal region, where it directly affects the lungs, or ""windows,"" in a relatively short period of time.

Several patients diagnosed with Covid Omicron XBB were eventually classified as having no fever, no pain, But X-rays showed mild chest pneumonia.

Nasal swab tests are usually negative for COVID-Omicron XBB, and false negative cases of nasopharyngeal tests are increasing.

This means that the virus can spread in the community and infect the lungs directly, resulting in Viral pneumonia, which in turn causes acute respiratory stress.

This explains why Covid-Omicron XBB has become highly contagious, highly toxic and deadly.

Please note that avoid crowded places and keep a distance of 1.5m even in open areas, Wear a double mask, wear a suitable mask, and wash your hands frequently when you are asymptomatic (no coughing or sneezing).

This Covid Omicron * ""WAVE"" * is more deadly than the first wave of COVID-19. So we have to be very careful and take all kinds of enhanced Coronavirus prevention measures.

Also be vigilant in communicating with your friends and family.

Don't keep this information to yourself, share it with other relatives and friends as much as you can, especially your family and friends.",Info/News/Opinion,text,false,1.75
"Date: 24 March 2023 at 2:24:03 pm AEDT
To: 

﻿
Forwarded as received.




*LAPORAN WIKILEAKS MENDEDAHKAN SIMPANAN TETAP KELUARGA DAN KRONI MAHATHIR DI BANK ISRAEL, SINGAPURA.*

FW: WikiLeaks Releases Secret Bank Accounts of Mahathir's family and his cronies
rotary district conference 2011-2012
1/7/11 Ananda Pillai.

* MAHATHIR, THE THIEF & HIS FAMILY*

Subject:  WikiLeaks Releases Secret Bank Accounts of Mahathir's family and his cronies

*FIXED DEPOSIT ACCOUNTS OF MAHATHIR'S WIFE AND 5 OF HIS CHILDREN AS WELL AS HIS CRONIES*

The information regarding the *Fixed Deposit Accounts* of Mahathir's wife and 3 of his children are as below.
These accounts were opened at an Israeli Singapore-based bank in the neighboring country of Singapore .

*The bank is ISRAELI NATIONAL BANK.*
That vast amount of monies could have been derived through the following:
i. Deposited by an agent of the Israeli Government or any other foreign government.
ii. Derived from various companies of Mahathir's cronies.
iii. Or could be part of the RM1Bil missing from UMNO's account which Anwar Ibrahim brought up before he was dismissed from UMNO.

Details of accounts are as follow:

Family of Dr. Mahathir:

*1. Name : Ms Siti Hasmah Bte Mohamed Ali*
Post : Wife of Prime Minister
Passport No. : D 173596 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : GB-6921-4212- 712 (F)
*Amount : USD 6,650,000.00*
Date of opening account : 19/03/95
Date of Maturity : 19/03/98
(Maturity continuity to 19/03/2001)

*2. Name : Ms Siti Hasmah Bte Mohamed Ali*
Post : Wife of Prime Minister
Passport No. : D 173596 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : AGF-2192-2442- 722-(X)
*Amount : USD 4,000,000.00*
Date of opening account : 25/06/95
Date of Maturity : 25/06/98
(Maturity continued to 25/06/2001)
(Extension interest agreed upon)

*3. Name : Ms Siti Hasmah Bte Mohamed Ali*
Post : Wife of Prime Minister
Passport No. : D 173596 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : DD-3919-714- 271-(A)
*Amount : USD 5,500,000.00*
Date of opening account : 06/12/95
Date of Maturity : 06/12/98

*4. Name : Ms Siti Hasmah Bte Mohamed Ali*
Post : Wife of Prime Minister
Passport No. : D 173596 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : FA-4196-2493- 313 (A)
*Amount : USD 8,000,000.00*
Date of opening account : 09/06/97
Date of Maturity : 09/06/00

*5. Name : Ms Siti Hasmah Bte Mohamed Ali*
Post : Wife of Prime Minister
Passport No. : D 173596 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : FB-5614-1499- 515 (C)
*Amount : USD 9,800,000.00*
Date of opening account : 12/11/97
Date of Maturity : 12/11/2000

*6. Name : Ms Siti Hasmah Bte Mohamed Ali*
Post : Wife of Prime Minister
Passport No. : D 173596 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : CE-2418-7172- 492 (E)
*Amount : USD 5,000,000.00*
Date of opening account : 07/03/98
Date of Maturity : 07/03/01

*7. Name : Ms Marina Bte Mahathir*
Post : Daughter ; Malaysia AIDS Council President
Passport No. : R 671918 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : C-719-418-210 (M)
*Amount : USD 13,000,000.00*
Date of opening account : 17/06/96
Date of Maturity : 17/06/99

*8. Name : Ms Marina Bte Mahathir*
Post : Daughter ; Malaysia AIDS Council President
Passport No. : R 671918 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : F-817-200-11 (C)
*Amount : USD 12,500,000.00*
Date of opening account : 03/12/96
Date of Maturity : 03/12/99

*9. Name : Ms Marina Bte Mahathir*
Post : Daughter ; Malaysia AIDS Council President
Passport No. : R 671918 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
5 years
Account No : G-211-922-718- 2 (D)
*Amount : USD 15,000,000.00*
Date of opening account : 12/07/97
Date of Maturity : 12/07/02

*10. Name : Mr Mokhzani Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 719325 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : M-3121-3149- 512 (D)
*Amount : USD 7,000,000.00*
Date of opening account : 03/12/95
Date of Maturity : 03/12/98

*11. Name : Mr Mokhzani Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 719325 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : DA-9159-7211- 819 (M)
*Amount : USD 4,500,000.00*
Date of opening account : 20/05/96
Date of Maturity : 20/05/99

*12. Name : Mr Mokhzani Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 719325 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : ME-3138-5144- 219 (A)
*Amount : USD 10,000,000.00*
Date of opening account : 08/09/97
Date of Maturity : 08/09/00

*13. Name : Mr Mokhzani Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 719325 (M)
Bank : Israeli National Bank
Type of Account : Current Account
Account No : A-7213-4441- 223 (MB)
*Amount : USD 15,500,000.00*
Date of opening account : 11/12/97
Withdrawal : USD 5,000,000.00 on 10/02/98
Cheque No. F2912718
Deposit : USD 9,500,000.00
*Last Balance : USD 19,500,000.00*

*14. Name : Mr Mokhzani Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 719325 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
1 years
Account No : F-3518-3279- 441 (ND)
*Amount : USD 10,000,000.00*
Date of opening account : 08/09/98
Date of Maturity : 08/09/99

*15. Name : Mr Mokhzani Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 719325 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
1 years
Account No : F-3532-3310- 501 (NG)
*Amount : USD 15,500,000.00*
Date of opening account : 21/09/98
Date of Maturity : 21/09/99

*16. Name : Mr Mirzan Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 914315 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : LA-5716-3919- 862 (C)
*Amount : USD 15,000,000.00*
Date of opening account : 16/08/96
Date of Maturity : 16/08/99

*17. Name : Mr Mirzan Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 914315 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit
2 years
Account No : CM-6983-7419- 365 (F)
*Amount : S $ 10,000,000.00*
Date of opening account : 29/06/97
Date of Maturity : 29/06/99

*18. Name : Mr Mirzan Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 914315 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit
2 years
Account No : JE-8145-6073- 396 (L)
*Amount : S$ 5,000,000.00*
Date of opening account : 15/11/97
Date of Maturity : 15/11/99

*19. Name : Mr Mirzan Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 914315 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit
3 years
Account No : YE-3909-2616- 398 (M)
*Amount : S $ 10,000,000.00*
Date of opening account : 25/11/97
Date of Maturity : 25/11/00

*20. Name : Mr Mirzan Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 914315 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
1 years
Account No : G-7051-3996- 521 (EC)
*Amount : USD 12,500,000.00*
Date of opening account : 26/09/98
Date of Maturity : 26/09/99

*21. Name : Mr Mukhriz Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 639296 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit
3 years
Account No : CF-3711-5681- 742 (G)
*Amount : S$ 7,000,000.00*
Date of opening account : 06/07/96
Date of Maturity : 06/07/99

*22. Name : Mr Mukhriz Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 639296 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
2 years
Account No : M-2074-6219- 332 (E)
*Amount : USD 8,000,000.00*
Date of opening account : 05/06/97
Date of Maturity : 05/06/99

*23. Name : Mr Mukhriz Bin Mahathir*
Post : Son of Prime Minister
Passport No. : R 639296 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : DL-6074-3691- 7785 (E)
*Amount : USD 3,000,000.00*
Date of opening account : 26/09/97
Date of Maturity : 26/09/00

*24. Name : Ms Melinda Bte Mahathir*
Post : Daughter of Prime Minister
Passport No. : R 697339 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
2 years
Account No : EX-6965-7718- 396 (D)
*Amount : USD 15,000,000.00*
Date of opening account : 19/11/97
Date of Maturity : 19/11/99

*25. Name : Ms Melinda Bte Mahathir*
Post : Daughter of Prime Minister
Passport No. : R 697339 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit
2 years
Account No : FN-1799-6673- 983 (M)
*Amount : S$ 10,000,000.00*
Date of opening account : 21/01/98
Date of Maturity : 21/01/00

*TOTAL: USD 199.45 MILLION AND S$42,000,000. 00 IN FIXED DEPOSIT*

Ponder on the amount and think for yourself how could they have acquired these vast amount of wealth just being
the wife and children of the PM of Malaysia.

*CRONIES WEALTH: BROTHER IN-LAW OF MAHATHIR*

*1. Name : Mr. Hashim Bin Mohamed Ali*
Post : Brother-in-law of Prime Minister
Passport No. : C 341872 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
2 years
Account No : BB-1792-5126- 2197-14 (XD)
*Amount : USD 6,600,000.00*
Date of opening account : 14/12/96
Date of Maturity : 14/12/98

*2. Name : Mr. Hashim Bin Mohamed Ali*
Post : Brother-in-law of Prime Minister
Passport No. : C 341872 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
3 years
Account No : MG-3014-2132- 5188-19 (NF)
*Amount : USD 11,500,000.00*
Date of opening account : 16/05/97
Date of Maturity : 16/05/00

*3. Name : Mr. Hashim Bin Mohamed Ali*
Post : Brother-in-law of Prime Minister
Passport No. : C 341872 (M)
Bank : Israeli National Bank
Type of Account : Fixed Deposit (Foreign Currency)
2 years
Account No : NE-5179-2212- 6125-42 (CE)
*Amount : USD 5,000,000.00*
Date of opening account : 18/06/98
Date of Maturity : 18/06/00

*TOTAL: USD 23,100,00.00*

Date of opening aczcount : 03/12/96
Date of Maturity : 03/12/98",Info/News/Opinion,text,false,1.7
中国确实真的有5千年历史啊！这是对的啊！谁人的屁是香的啊！老外的屁也是臭味熏天的啊！他们还有心情说我们？！只能当他们放屁的咯！,Unsure,text,false,1.6666666666666667
"<ADV> Singapore's medical cost is always rising.
Would you want to protect your savings and enjoy 100% medical bill reimbursement?
Reply 'Y' for more info",Spam,text,false,1.5
"Ionizing radiation can affect the atoms in all living things, so it poses a health risk by damaging tissue and DNA in genes. With that said, dragon fruit seedlings are known to absorb all the radiation from their nearby surrounding. Because of that, many people are fond of keeping these babies on their work desk near their computers.",Info/News/Opinion,text,false,1.3076923076923077
"🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 🌧️ 

*From today until 30/03/2023, it will be very cold...*

Remember: Starting tomorrow at 05:27, we will experience the APHELION event. Earth is at a different distance from the Sun than normal.

We cannot see this event, but we can feel its impact.  It will last till March.

We may experience colder weather than usual.

It can cause fever, cough and difficulty in breathing. We should strengthen our immune system by consuming foods that strengthen the lungs and heart.

The distance from Earth to Sun is 5 light minutes ie 90,000,000 (9 crore) km.  Aphelion event takes us 152,000,000 (15.2 crore) km from the Sun or 66% of the distance.

Therefore the humidity in the air will increase till the end of March instead of ending in the current month of February due to the south-west monsoon from last July and then the special north-east monsoon for our Tamil Nadu.

Our body... especially those who feel difficulty in breathing,

Older people will see a big difference with this coolness.

So we have to keep our health balanced, whether it's cloudy or sunny, the body still feels cold!!!

And winter can cause feelings of lethargy even in healthy people.

Therefore, appropriate changes should be made from the way you dress to the food you eat.
  
To protect our health... Please share this information with everyone as possible especially family friends who are elderly.  So they might as well be forewarned.",Info/News/Opinion,text,false,1.1666666666666667
"<ADV> Congrats Ming! You're one of our 3 lucky winners to receive your beauty gifts worth $566.
Redeem @ https://t1.sg/uG5a NOW!
1. Ming
2. Cindy T
3. Zi Hui L
T&Cs apply. UNSUB sg@bonusrevpartners.com",Scam,text,false,1
"From tomorrow till August 22 the weather will be colder and colder than last year.  This is called the Albelian phenomenon.  It starts tomorrow morning at 5-27.
 We will not only see but also experience the effects of the Alphelion Phenomenon.
 It will end in August 2022.
 During this time we will experience cold weather like never before.. due to which.. our body aches and stuffy throat,
 Fever, cough and breathing problems occur.  Therefore, it is better to strengthen your immune system with vitamins and other healthy food products.
 The distance between Sun and Earth is 90,000,000 km.  But during this Alphelion Phenomenon, the distance between the two will increase to 152,000,000 km.  That is a 66% increase.

 Please share this with family, friends and loved ones.

訊息：「从明天五点二十七分开始，太阳将会远离地球，天气会因此变得比较严寒，这种现象叫做Aphelion Phenomenon (远日点)，平时, 地球和太阳的距离是90,000,000 公里，如遇上aphelion 现象，太阳会远离地球152,000,000 公里，这种现象将会延续至今年八月，一般上，天气会比平时要冷，可能因此带来身体不适，如感冒，咳嗽，呼吸短促等等。所以，在这期间要多喝水，多吃有益健康的营养品，以便增强身体抵抗力，免受疾病侵袭。
别错过将此贴文转发出去和大家分享。」",Info/News/Opinion,text,false,1
I can withdraw my CPF only at age 65,Info/News/Opinion,text,false,0.9166666666666666
9/11 attack was a scam,Info/News/Opinion,text,false,0.07142857142857142
"

Hi, this is Julie from Chase Travel Singapore. We are doing a
paid survey. Can you assist?




Get 6 SGD (Paynow) by answering 3simple questions.




1. Do you use hotel bookings apps ?
ie : Agoda , Airbnb , Trivago
(A)Yes
(B)No




2. How would you rate these apps ?
(A) Excellent
(B) Good
(C) Fair




3. Your Age Range
(A) Below 25
(B)25- 45
(C) 45-68
(D)Above 68",Scam,text,false,null
scam?,Trivial,text,true,null
"Hello 
sorry to bother you, is this Kevin Wong ?",Unsure,text,false,null
Hi,Trivial,text,true,null
is this a scam,Trivial,text,true,null
"Hi , this is Julia from Chan Brothers Travel Pte Ltd Singapore. We are doing a promotion to improve our service.


Get 5 SGD (Paynow) by answering 3simple questions.


1. Do you use hotel bookings apps ?
ie : Agoda , Airbnb , Trivago
(A)Yes
(B)No




2. How would you rate these apps ?
(A) Excellent
(B) Good
(C) Fair




3. Your Age Range
(A) Below 25
(B)25- 45
(C) 45-68
(D)Above 68Add Telegram in our receptionist to claim your bonus.",Scam,text,false,null
Hello a bit slow,Trivial,text,false,null
Well done CheckMate 👏😅👏,Trivial,text,false,null
this is a test,Trivial,text,true,null
null,Scam,image,false,null
